name,link,location
Pied a Terre,https://feverup.com/m/75024?utm_source=secretldn&utm_medium=post&utm_campaign=75024_lon&utm_content=vegan-restaurants-london,Fitzrovia
Mildred’s,http://www.mildreds.co.uk,various locations
222 Veggie Vegan,http://www.222veggievegan.com,West Kensington
Comptoir V,https://www.comptoirv.co.uk,Kensal Green
Rasa,http://www.rasarestaurants.com/index.html,Stoke Newington
Wulf & Lamb,http://wulfandlamb.com,Chelsea
Mooshies,https://veganburger.org,Shoreditch
St Margaret’s House Gallery Cafe,http://www.stmargaretshouse.org.uk/gallerycafe/,Bethnal Green
Cafe Van Gogh,https://www.cafevangogh.co.uk,Brixton
Genesis,https://secretldn.com/genesis-vegan-restaurant-shoreditch/,Shoreditch
SpiceBox,https://eatspicebox.co.uk/,Walthamstow
Kalifornia Kitchen,https://secretldn.com/kalifornia-kitchen-vegan-restaurant/,Fitzrovia and Fulham
WAVE,https://secretldn.com/we-are-vegan-everything/,Hackney
Temple of Seitan,http://templeofseitan.co.uk,Hackney and Camden
CookDaily,https://www.cookdaily.co.uk,London Fields
Young Vegans,http://www.youngvegans.co.uk,Camden
La Gelatiera,http://www.lagelatiera.co.uk/index.html,Covent Garden or Stratford
by CHLOE.,https://secretldn.com/by-chloe-vegan-cafe/,various locations
The Vurger Co,http://www.thevurgerco.com/,Shoreditch and Canary Wharf
Sutton and Sons,https://secretldn.com/vegan-fish-chip-shop-hackney-london/,Hackney
Biff’s Jack Shack,https://secretldn.com/biffs-jack-shack-vegan/,"Shoreditch, Walthamstow, and Homerton"
